post_id,post_datetime,post_type,author_type,author_follower_bucket,post_text,topic,content_format,hashtags,mentions_commbank,sentiment_label,sentiment_score,likes,replies,reposts,quote_posts,views,link_clicks,total_engagements,engagement_rate,day_of_week,customer_intent,response_needed,api_field_examples,model_sentiment_score,model_sentiment_label,labels_match,post_date
SM001,2026-04-15 09:05:00,Original post,CommBank,50k+,"Scam alert: We will never ask for your NetBank password or one-time code by text message. If a message feels suspicious, stop and check before clicking.",Fraud & scams,Text + image,#ScamAwareness #CyberSafety,No,Neutral,0.1,842,96,310,28,118000,4200,5476,0.04640677966101695,Wednesday,Educational content,No,"text, created_at, public_metrics, entities.hashtags",0.0,Neutral,True,2026-04-15
SM002,2026-04-15 09:42:00,Reply,Customer,0-500,Thanks for the reminder. Nearly clicked on a fake delivery text yesterday and this made me double-check.,Fraud & scams,Text,,Yes,Positive,0.7,18,3,1,0,920,0,22,0.02391304347826087,Wednesday,Praise,No,"text, in_reply_to_user_id, referenced_tweets",-0.06666666666666665,Neutral,False,2026-04-15
SM003,2026-04-15 10:17:00,Mention,Customer,0-500,@CommBank I received a message saying my card is locked. Is this real? The link looks strange.,Fraud & scams,Text,,Yes,Negative,-0.35,6,9,0,0,780,0,15,0.019230769230769232,Wednesday,Scam report,Yes,"text, entities.mentions, author_id",0.07500000000000001,Neutral,False,2026-04-15
SM004,2026-04-16 12:30:00,Original post,CommBank,50k+,"New budget habit: split your weekly spend into essentials, savings and fun money before the weekend starts.",Financial wellbeing,Text + image,#MoneyTips #Budgeting,No,Positive,0.58,620,42,128,12,84200,5100,5902,0.07009501187648456,Thursday,Educational content,No,"text, created_at, public_metrics, media_keys",0.21818181818181817,Positive,True,2026-04-16
SM005,2026-04-16 13:04:00,Reply,Customer,501-5k,This is actually useful. Would love a template for tracking weekly spending categories.,Financial wellbeing,Text,,Yes,Positive,0.62,25,2,4,0,1300,0,31,0.023846153846153847,Thursday,Feature feedback,No,"text, referenced_tweets, public_metrics",0.4,Positive,True,2026-04-16
SM006,2026-04-17 08:50:00,Mention,Customer,0-500,@CommBank app keeps timing out this morning. I need to pay rent before work.,Digital banking,Text,,Yes,Negative,-0.82,41,18,7,1,4500,0,67,0.014888888888888889,Friday,Complaint,Yes,"text, entities.mentions, created_at",0.0,Neutral,False,2026-04-17
SM007,2026-04-17 09:15:00,Reply,CommBank,50k+,"Sorry for the trouble. Please try closing and reopening the app. If the issue continues, send us a private message so we can help.",Customer support,Text,,Yes,Neutral,0.05,12,5,0,0,2100,0,17,0.008095238095238095,Friday,Customer support,No,"text, referenced_tweets, conversation_id",-0.2333333333333333,Negative,False,2026-04-17
SM008,2026-04-18 17:45:00,Original post,CommBank,50k+,"Planning a home renovation? Compare quotes, keep a buffer for surprises and avoid transferring deposits until you verify the business.",Financial wellbeing,Link,#HomeBudget #MoneySafety,No,Neutral,0.22,208,19,42,5,61200,390,664,0.010849673202614379,Saturday,Educational content,No,"text, entities.urls, public_metrics",0.0,Neutral,True,2026-04-18
SM009,2026-04-19 11:20:00,Mention,Business customer,501-5k,Our small business card payment issue was sorted quickly today. Appreciate the support team calling back.,Business banking,Text,,Yes,Positive,0.74,53,4,8,1,3900,0,66,0.016923076923076923,Sunday,Praise,No,"text, author_id, public_metrics",0.027777777777777773,Neutral,False,2026-04-19
SM010,2026-04-20 07:40:00,Original post,CommBank,50k+,Scheduled maintenance: some card controls and notifications may be unavailable from 1:00am to 3:00am AEST on Sunday.,Outage/service issue,Text,#ServiceUpdate,No,Neutral,0.0,315,88,91,19,96500,800,1313,0.013606217616580311,Monday,News/update,No,"text, created_at, public_metrics",0.0,Neutral,True,2026-04-20
